#node	date	numeric date
NODE_0000000	2019-11-06	2019.847202
hCoV_19_USA_NY_NYUMC6_2020_EPI_ISL_418191	2020-03-16	2020.206284
NODE_0000001	2019-11-06	2019.847202
hCoV_19_Guangdong_GD2020012_P0022_2020_EPI_ISL_413886	2020-02-01	2020.086066
NODE_0000002	2019-11-12	2019.864166
hCoV_19_Iceland_250_2020_EPI_ISL_417578	2020-03-17	2020.209016
NODE_0000003	2019-11-12	2019.864166
hCoV_19_Guangdong_FS_S30_P0052_2020_EPI_ISL_413892	2020-02-28	2020.159836
NODE_0000004	2019-11-17	2019.877096
hCoV_19_Guangdong_ZS_S6_P0060_2020_EPI_ISL_413900	2020-02-28	2020.159836
NODE_0000005	2019-11-24	2019.897710
NODE_0000006	2019-11-24	2019.897710
hCoV_19_Shanghai_SH0081_2020_EPI_ISL_416383	2020-02-01	2020.086066
NODE_0000007	2019-12-29	2019.992306
hCoV_19_Wales_PHWC_24EB1_2020_EPI_ISL_420954	2020-03-22	2020.222678
NODE_0000008	2020-01-18	2020.048210
hCoV_19_Guangdong_FS_S29_P0051_2020_EPI_ISL_413891	2020-02-28	2020.159836
NODE_0000009	2020-01-18	2020.048210
NODE_0000010	2020-01-18	2020.048210
hCoV_19_England_20109038906_2020_EPI_ISL_417261	2020-03-06	2020.178962
hCoV_19_USA_CA_SCCPHD_UC17_2020_EPI_ISL_417321	2020-03-08	2020.184426
NODE_0000011	2020-01-18	2020.048210
hCoV_19_Guangdong_GD2020241_P0013_2020_EPI_ISL_413877	2020-02-09	2020.107923
NODE_0000012	2020-01-18	2020.048210
hCoV_19_Guangdong_DG_S6_P0055_2020_EPI_ISL_413895	2020-02-28	2020.159836
NODE_0000013	2020-01-18	2020.048210
hCoV_19_USA_WY_WYPHL020_2020_EPI_ISL_421554	2020-03-19	2020.214481
NODE_0000014	2020-01-21	2020.056995
NODE_0000015	2020-01-21	2020.056995
NODE_0000016	2020-03-03	2020.171759
hCoV_19_England_20138081004_2020_EPI_ISL_421833	2020-03-26	2020.233607
hCoV_19_England_20124021002_2020_EPI_ISL_418703	2020-03-17	2020.209016
NODE_0000017	2020-01-21	2020.056995
hCoV_19_England_20139030004_2020_EPI_ISL_420666	2020-03-26	2020.233607
NODE_0000018	2020-01-27	2020.073353
hCoV_19_Shanghai_SH0071_2020_EPI_ISL_416374	2020-02-07	2020.102459
hCoV_19_England_20126045602_2020_EPI_ISL_418767	2020-03-18	2020.211749
NODE_0000019	2020-02-05	2020.095966
NODE_0000020	2020-02-05	2020.097887
NODE_0000021	2020-02-25	2020.152789
NODE_0000022	2020-03-05	2020.177018
hCoV_19_Belgium_Human_CS_031052_2020_EPI_ISL_418800	2020-03-10	2020.189891
hCoV_19_England_20139058604_2020_EPI_ISL_420726	2020-03-27	2020.236339
NODE_0000023	2020-02-25	2020.152789
hCoV_19_Belgium_CG_030158_2020_EPI_ISL_418987	2020-03-01	2020.165301
NODE_0000024	2020-02-25	2020.152789
hCoV_19_Belgium_MJP_0306100_2020_EPI_ISL_420356	2020-03-06	2020.178962
NODE_0000025	2020-03-15	2020.202928
hCoV_19_Belgium_ULG_10032_2020_EPI_ISL_421206	2020-03-31	2020.247268
hCoV_19_Belgium_ULG_10028_2020_EPI_ISL_421202	2020-03-30	2020.244536
NODE_0000026	2020-02-06	2020.100111
hCoV_19_Wales_PHWC_25014_2020_EPI_ISL_420963	2020-03-22	2020.222678
NODE_0000027	2020-02-07	2020.102193
hCoV_19_Austria_CeMM0001_2020_EPI_ISL_419654	2020-03-03	2020.170765
NODE_0000028	2020-02-08	2020.104218
NODE_0000029	2020-02-08	2020.104218
hCoV_19_Netherlands_NA_6_2020_EPI_ISL_415495	2020-03-10	2020.189891
NODE_0000030	2020-02-08	2020.104218
hCoV_19_Germany_NRW_09_2020_EPI_ISL_414509	2020-02-28	2020.159836
