ID1,ID2,Distance
BetaCoV_France_IDF0386_2020_EPI_ISL_411219,BetaCoV_France_IDF0386_2020_EPI_ISL_411220,0
BetaCoV_USA_WA1_2020_EPI_ISL_404895,BetaCoV_Shenzhen_HKU_SZ_005_2020_EPI_ISL_405839,0.000133898
BetaCoV_Guangzhou_20SF206_2020_EPI_ISL_406533,BetaCoV_Foshan_20SF207_2020_EPI_ISL_406534,0.000134091
BetaCoV_Beijing_IVDC_BJ_005_2020_EPI_ISL_408485,BetaCoV_Jiangxi_IVDC_JX_002_2020_EPI_ISL_408486,0.000502046
BetaCoV_England_02_2020_EPI_ISL_407073,BetaCoV_Finland_1_2020_EPI_ISL_407079,0.000167573
BetaCoV_Japan_TY_WK_521_2020_EPI_ISL_408667,BetaCoV_Vietnam_VR03_38142_2020_EPI_ISL_408668,0.000468768
BetaCov_Wuhan_WH03_2020_EPI_ISL_406800,BetaCov_Wuhan_WH04_2020_EPI_ISL_406801,6.69731e-05
BetaCoV_Singapore_4_2020_EPI_ISL_410535,BetaCoV_Singapore_5_2020_EPI_ISL_410536,0.000170046
BetaCoV_Shenzhen_SZTH_004_2020_EPI_ISL_406595,BetaCoV_France_IDF0372_2020_EPI_ISL_406596,0.000368577
BetaCoV_Taiwan_3_2020_EPI_ISL_411926,BetaCoV_Taiwan_4_2020_EPI_ISL_411927,0.00010038
BetaCoV_Wuhan_IVDC_HB_envF54_2020_EPI_ISL_408512,BetaCoV_Wuhan_IVDC_HB_envF13_20_2020_EPI_ISL_408514,0.000710677
BetaCoV_Singapore_7_2020_EPI_ISL_410713,BetaCoV_Singapore_8_2020_EPI_ISL_410714,6.72185e-05
BetaCoV_USA_CA3_2020_EPI_ISL_408008,BetaCoV_USA_CA4_2020_EPI_ISL_408009,0
BetaCoV_Australia_NSW01_2020_EPI_ISL_407893,BetaCoV_Australia_QLD01_2020_EPI_ISL_407894,6.71642e-05
BetaCoV_Chongqing_ZX01_2020_EPI_ISL_408479,BetaCoV_Yunnan_IVDC_YN_003_2020_EPI_ISL_408480,0.000100377
BetaCoV_France_IDF0515_isl_2020_EPI_ISL_410984,BetaCoV_Fujian_8_2020_EPI_ISL_411060,0.00020093
BetaCoV_Wuhan_IVDC_HB_01_2019_EPI_ISL_402119,BetaCoV_Wuhan_IVDC_HB_04_2020_EPI_ISL_402120,6.69194e-05
BetaCoV_Wuhan_WIV07_2019_EPI_ISL_402130,BetaCoV_Wuhan_HBCDC_HB_01_2019_EPI_ISL_402132,0.000100524
BetaCoV_Guangzhou_20SF206_2020_EPI_ISL_406533,BetaCoV_Foshan_20SF210_2020_EPI_ISL_406535,0.000100561
BetaCoV_USA_WA1_2020_EPI_ISL_404895,BetaCoV_Shenzhen_HKU_SZ_002_2020_EPI_ISL_406030,6.70382e-05
BetaCoV_Beijing_IVDC_BJ_005_2020_EPI_ISL_408485,BetaCoV_Henan_IVDC_HeN_002_2020_EPI_ISL_408487,0.00117204
BetaCov_Taiwan_NTU02_2020_EPI_ISL_410218,BetaCoV_Nepal_61_2020_EPI_ISL_410301,0.000100646
BetaCoV_Australia_QLD03_2020_EPI_ISL_410717,BetaCoV_Australia_QLD04_2020_EPI_ISL_410718,3.34864e-05
BetaCoV_Sydney_3_2020_EPI_ISL_408977,BetaCoV_Wuhan_WH05_2020_EPI_ISL_408978,6.71642e-05
BetaCoV_France_IDF0386_2020_EPI_ISL_411219,BetaCoV_Cambodia_0012_2020_EPI_ISL_411902,0.00010044
BetaCoV_Japan_TY_WK_521_2020_EPI_ISL_408667,BetaCoV_Japan_KY_V_029_2020_EPI_ISL_408669,0.000301339
BetaCoV_England_02_2020_EPI_ISL_407073,BetaCoV_Japan_AI_I_004_2020_EPI_ISL_407084,0.000234843
BetaCoV_Shenzhen_SZTH_004_2020_EPI_ISL_406595,BetaCoV_France_IDF0373_2020_EPI_ISL_406597,0.000369121
BetaCoV_Singapore_4_2020_EPI_ISL_410535,BetaCoV_Singapore_6_2020_EPI_ISL_410537,0.000136029
BetaCov_Wuhan_WH03_2020_EPI_ISL_406800,BetaCoV_Australia_VIC01_2020_EPI_ISL_406844,0.000100484
BetaCoV_Wuhan_IVDC_HB_envF54_2020_EPI_ISL_408512,BetaCoV_Wuhan_IVDC_HB_envF13_21_2020_EPI_ISL_408515,0.000710677
BetaCoV_Taiwan_3_2020_EPI_ISL_411926,BetaCoV_South_Korea_SNU01_2020_EPI_ISL_411929,0.000401608
BetaCoV_Singapore_7_2020_EPI_ISL_410713,BetaCoV_Singapore_9_2020_EPI_ISL_410715,6.69194e-05
BetaCoV_USA_CA3_2020_EPI_ISL_408008,BetaCoV_USA_CA5_2020_EPI_ISL_408010,0.000167356
BetaCoV_Australia_NSW01_2020_EPI_ISL_407893,BetaCoV_Australia_QLD02_2020_EPI_ISL_407896,0.000134328
BetaCoV_Chongqing_ZX01_2020_EPI_ISL_408479,BetaCoV_Chongqing_IVDC_CQ_001_2020_EPI_ISL_408481,3.34557e-05
BetaCoV_France_IDF0515_isl_2020_EPI_ISL_410984,BetaCoV_Fujian_13_2020_EPI_ISL_411066,0.000167304
BetaCoV_Wuhan_IVDC_HB_01_2019_EPI_ISL_402119,BetaCoV_Wuhan_IVDC_HB_05_2019_EPI_ISL_402121,6.69192e-05
BetaCoV_Wuhan_WIV07_2019_EPI_ISL_402130,IPBCAMS_WH_05_2020_EPI_ISL_403928,0.000100487
BetaCoV_Guangzhou_20SF206_2020_EPI_ISL_406533,BetaCoV_Foshan_20SF211_2020_EPI_ISL_406536,0.000100683
BetaCoV_USA_WA1_2020_EPI_ISL_404895,BetaCoV_Taiwan_2_2020_EPI_ISL_406031,0.000234331
BetaCoV_Beijing_IVDC_BJ_005_2020_EPI_ISL_408485,BetaCoV_Jiangsu_IVDC_JS_001_2020_EPI_ISL_408488,0.000502072
BetaCov_Taiwan_NTU02_2020_EPI_ISL_410218,BetaCoV_France_RA739_2020_EPI_ISL_410486,0.000201661
BetaCoV_Sydney_3_2020_EPI_ISL_408977,BetaCoV_USA_MA1_2020_EPI_ISL_409067,0.000167909
BetaCoV_France_IDF0386_2020_EPI_ISL_411219,BetaCoV_Taiwan_CGMH_CGU_01_2020_EPI_ISL_411915,6.70163e-05
BetaCoV_Japan_TY_WK_521_2020_EPI_ISL_408667,BetaCoV_USA_WI1_2020_EPI_ISL_408670,0.000200903
