MT072688_1	Nepal
hCoV-19_Algeria_G0638_2264_2020_EPI_ISL_418241	Algeria
hCoV-19_Algeria_G0640_2265_2020_EPI_ISL_418242	Algeria
hCoV-19_Algeria_G0860_2262_2020_EPI_ISL_420037	Algeria
hCoV-19_Anhui_SZ005_2020_EPI_ISL_413485	China
hCoV-19_Argentina_C121_2020_EPI_ISL_420600	Argentina
hCoV-19_Argentina_C1374_2020_EPI_ISL_420599	Argentina
hCoV-19_Argentina_C3013_2020_EPI_ISL_420598	Argentina
hCoV-19_Australia_NSW01_2020_EPI_ISL_407893	Australia
hCoV-19_Australia_NSW02_2020_EPI_ISL_408976	Australia
hCoV-19_Australia_NSW03_2020_EPI_ISL_408977	Australia
hCoV-19_Australia_NSW04_2020_EPI_ISL_417030	Australia
hCoV-19_Australia_NSW05_2020_EPI_ISL_412975	Australia
hCoV-19_Australia_NSW06_2020_EPI_ISL_413213	Australia
hCoV-19_Australia_NSW07_2020_EPI_ISL_413214	Australia
hCoV-19_Australia_NSW08_2020_EPI_ISL_413594	Australia
hCoV-19_Australia_NSW09_2020_EPI_ISL_413595	Australia
hCoV-19_Australia_NSW10_2020_EPI_ISL_413596	Australia
hCoV-19_Australia_NSW11_2020_EPI_ISL_413597	Australia
hCoV-19_Australia_NSW12_2020_EPI_ISL_413598	Australia
hCoV-19_Australia_NSW13_2020_EPI_ISL_413599	Australia
hCoV-19_Australia_NSW14_2020_EPI_ISL_413600	Australia
hCoV-19_Australia_NSW15_2020_EPI_ISL_417383	Australia
hCoV-19_Australia_NSW18_2020_EPI_ISL_417384	Australia
hCoV-19_Australia_NSW19_2020_EPI_ISL_417385	Australia
hCoV-19_Australia_NSW21_2020_EPI_ISL_417386	Australia
hCoV-19_Australia_NSW24_2020_EPI_ISL_417387	Australia
hCoV-19_Australia_NSW25_2020_EPI_ISL_417388	Australia
hCoV-19_Australia_NSW26_2020_EPI_ISL_417389	Australia
hCoV-19_Australia_NSW27_2020_EPI_ISL_417390	Australia
hCoV-19_Australia_NSW28_2020_EPI_ISL_417391	Australia
hCoV-19_Australia_NSW31_2020_EPI_ISL_417392	Australia
hCoV-19_Australia_NSW35_2020_EPI_ISL_417393	Australia
hCoV-19_Australia_NSW36_2020_EPI_ISL_417394	Australia
hCoV-19_Australia_NSW37_2020_EPI_ISL_417395	Australia
hCoV-19_Australia_NSW38_2020_EPI_ISL_417396	Australia
hCoV-19_Australia_NSW39_2020_EPI_ISL_417397	Australia
hCoV-19_Australia_NSW40_2020_EPI_ISL_417398	Australia
hCoV-19_Australia_NSW41_2020_EPI_ISL_417399	Australia
hCoV-19_Australia_NSW44_2020_EPI_ISL_417400	Australia
hCoV-19_Australia_NSW45_2020_EPI_ISL_417401	Australia
hCoV-19_Australia_NSW47_2020_EPI_ISL_417402	Australia
hCoV-19_Australia_NSW48_2020_EPI_ISL_417403	Australia
hCoV-19_Australia_NSW50_2020_EPI_ISL_417404	Australia
hCoV-19_Australia_NSW52_2020_EPI_ISL_417405	Australia
hCoV-19_Australia_NSW53_2020_EPI_ISL_417406	Australia
hCoV-19_Australia_NSW54_2020_EPI_ISL_417407	Australia
hCoV-19_Australia_NSW56_2020_EPI_ISL_417408	Australia
hCoV-19_Australia_NSW57_2020_EPI_ISL_417409	Australia
hCoV-19_Australia_NSW58_2020_EPI_ISL_417410	Australia
hCoV-19_Australia_NSW61_2020_EPI_ISL_417411	Australia
hCoV-19_Australia_NSW62_2020_EPI_ISL_417412	Australia
hCoV-19_Australia_NSWID930_2020_EPI_ISL_421636	Australia
hCoV-19_Australia_NT01_2020_EPI_ISL_419831	Australia
hCoV-19_Australia_NT02_2020_EPI_ISL_419832	Australia
hCoV-19_Australia_NT04_2020_EPI_ISL_419833	Australia
hCoV-19_Australia_NT05_2020_EPI_ISL_419835	Australia
hCoV-19_Australia_QLD01_2020_EPI_ISL_407894	Australia
hCoV-19_Australia_QLD02_2020_EPI_ISL_407896	Australia
hCoV-19_Australia_QLD03_2020_EPI_ISL_410717	Australia
hCoV-19_Australia_QLD04_2020_EPI_ISL_410718	Australia
hCoV-19_Australia_QLD09_2020_EPI_ISL_414414	Australia
hCoV-19_Australia_QLDID919_2020_EPI_ISL_417031	Australia
hCoV-19_Australia_QLDID920_2020_EPI_ISL_417032	Australia
hCoV-19_Australia_QLDID921_2020_EPI_ISL_417033	Australia
hCoV-19_Australia_QLDID922_2020_EPI_ISL_418799	Australia
hCoV-19_Australia_QLDID923_2020_EPI_ISL_418801	Australia
hCoV-19_Australia_QLDID924_2020_EPI_ISL_418802	Australia
hCoV-19_Australia_QLDID925_2020_EPI_ISL_418803	Australia
hCoV-19_Australia_QLDID926_2020_EPI_ISL_418804	Australia
hCoV-19_Australia_QLDID927_2020_EPI_ISL_418807	Australia
hCoV-19_Australia_QLDID928_2020_EPI_ISL_418808	Australia
hCoV-19_Australia_QLDID929_2020_EPI_ISL_420878	Australia
hCoV-19_Australia_QLDID931_2020_EPI_ISL_420879	Australia
hCoV-19_Australia_VIC-CBA1_2020_EPI_ISL_420855	Australia
hCoV-19_Australia_VIC-CBA2_2020_EPI_ISL_420876	Australia
hCoV-19_Australia_VIC-CBA3_2020_EPI_ISL_420877	Australia
hCoV-19_Australia_VIC01_2020_EPI_ISL_406844	Australia
hCoV-19_Australia_VIC02_2020_EPI_ISL_416410	Australia
hCoV-19_Australia_VIC03_2020_EPI_ISL_416411	Australia
hCoV-19_Australia_VIC04_2020_EPI_ISL_416412	Australia
hCoV-19_Australia_VIC05_2020_EPI_ISL_416413	Australia
hCoV-19_Australia_VIC06_2020_EPI_ISL_416414	Australia
hCoV-19_Australia_VIC07_2020_EPI_ISL_416415	Australia
hCoV-19_Australia_VIC08_2020_EPI_ISL_416514	Australia
hCoV-19_Australia_VIC09_2020_EPI_ISL_416515	Australia
hCoV-19_Australia_VIC100_2020_EPI_ISL_419812	Australia
hCoV-19_Australia_VIC101_2020_EPI_ISL_419813	Australia
hCoV-19_Australia_VIC102_2020_EPI_ISL_419817	Australia
hCoV-19_Australia_VIC103_2020_EPI_ISL_419814	Australia
hCoV-19_Australia_VIC104_2020_EPI_ISL_419818	Australia
hCoV-19_Australia_VIC105_2020_EPI_ISL_419819	Australia
hCoV-19_Australia_VIC106_2020_EPI_ISL_419820	Australia
hCoV-19_Australia_VIC107_2020_EPI_ISL_419720	Australia
hCoV-19_Australia_VIC108_2020_EPI_ISL_419714	Australia
hCoV-19_Australia_VIC109_2020_EPI_ISL_419718	Australia
hCoV-19_Australia_VIC10_2020_EPI_ISL_416516	Australia
hCoV-19_Australia_VIC110_2020_EPI_ISL_419716	Australia
hCoV-19_Australia_VIC111_2020_EPI_ISL_419715	Australia
hCoV-19_Australia_VIC112_2020_EPI_ISL_419821	Australia
hCoV-19_Australia_VIC113_2020_EPI_ISL_419822	Australia
hCoV-19_Australia_VIC114_2020_EPI_ISL_419725	Australia
hCoV-19_Australia_VIC115_2020_EPI_ISL_419717	Australia
hCoV-19_Australia_VIC116_2020_EPI_ISL_419721	Australia
hCoV-19_Australia_VIC117_2020_EPI_ISL_419727	Australia
hCoV-19_Australia_VIC118_2020_EPI_ISL_419719	Australia
hCoV-19_Australia_VIC119_2020_EPI_ISL_419726	Australia
hCoV-19_Australia_VIC11_2020_EPI_ISL_416517	Australia
hCoV-19_Australia_VIC120_2020_EPI_ISL_419722	Australia
hCoV-19_Australia_VIC121_2020_EPI_ISL_419723	Australia
hCoV-19_Australia_VIC122_2020_EPI_ISL_419724	Australia
hCoV-19_Australia_VIC123_2020_EPI_ISL_419731	Australia
hCoV-19_Australia_VIC126_2020_EPI_ISL_419728	Australia
hCoV-19_Australia_VIC127_2020_EPI_ISL_419729	Australia
hCoV-19_Australia_VIC128_2020_EPI_ISL_419730	Australia
hCoV-19_Australia_VIC129_2020_EPI_ISL_419732	Australia
hCoV-19_Australia_VIC12_2020_EPI_ISL_416518	Australia
hCoV-19_Australia_VIC130_2020_EPI_ISL_419823	Australia
